train dataset: size=96000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=5500
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 118/1000, train: loss=0.0041, val: psnr=40.0368, 4.3m 8.4h/71.0h
epoch 119/1000, train: loss=0.0041, val: psnr=40.3927, 4.3m 8.4h/71.0h
epoch 120/1000, train: loss=0.0042, val: psnr=40.2751, 4.3m 8.5h/71.0h
epoch 121/1000, train: loss=0.0041, val: psnr=40.1346, 4.3m 8.6h/71.0h
epoch 122/1000, train: loss=0.0041, val: psnr=39.8818, 4.3m 8.7h/71.0h
epoch 123/1000, train: loss=0.0041, val: psnr=40.1959, 4.3m 8.7h/71.0h
epoch 124/1000, train: loss=0.0041, val: psnr=40.0917, 4.3m 8.8h/71.0h
epoch 125/1000, train: loss=0.0041, val: psnr=40.2564, 4.3m 8.9h/71.0h
epoch 126/1000, train: loss=0.0041, val: psnr=40.4319, 4.3m 8.9h/71.0h
epoch 127/1000, train: loss=0.0041, val: psnr=40.2128, 4.3m 9.0h/71.0h
epoch 128/1000, train: loss=0.0041, val: psnr=39.8379, 4.3m 9.1h/71.0h
epoch 129/1000, train: loss=0.0041, val: psnr=40.1484, 4.3m 9.2h/71.0h
epoch 130/1000, train: loss=0.0041, val: psnr=40.0777, 4.3m 9.2h/71.0h
epoch 131/1000, train: loss=0.0041, val: psnr=39.8089, 4.2m 9.3h/71.0h
epoch 132/1000, train: loss=0.0041, val: psnr=40.3561, 4.3m 9.4h/71.0h
epoch 133/1000, train: loss=0.0040, val: psnr=40.1833, 4.2m 9.4h/71.0h
epoch 134/1000, train: loss=0.0040, val: psnr=40.3040, 4.3m 9.5h/71.0h
epoch 135/1000, train: loss=0.0041, val: psnr=40.5432, 4.3m 9.6h/71.0h
epoch 136/1000, train: loss=0.0040, val: psnr=40.4309, 4.3m 9.7h/71.0h
epoch 137/1000, train: loss=0.0040, val: psnr=40.2358, 4.3m 9.7h/71.0h
epoch 138/1000, train: loss=0.0040, val: psnr=40.4896, 4.3m 9.8h/71.0h
epoch 139/1000, train: loss=0.0040, val: psnr=40.4227, 4.3m 9.9h/71.0h
epoch 140/1000, train: loss=0.0040, val: psnr=40.6660, 4.3m 9.9h/71.0h
epoch 141/1000, train: loss=0.0040, val: psnr=40.3209, 4.3m 10.0h/71.0h
epoch 142/1000, train: loss=0.0040, val: psnr=40.2285, 4.3m 10.1h/71.0h
epoch 143/1000, train: loss=0.0040, val: psnr=40.6926, 4.3m 10.2h/71.0h
epoch 144/1000, train: loss=0.0039, val: psnr=40.5924, 4.3m 10.2h/71.0h
epoch 145/1000, train: loss=0.0040, val: psnr=40.7839, 4.3m 10.3h/71.0h
epoch 146/1000, train: loss=0.0039, val: psnr=40.4474, 4.3m 10.4h/71.0h
epoch 147/1000, train: loss=0.0040, val: psnr=40.6079, 4.3m 10.4h/71.0h
epoch 148/1000, train: loss=0.0039, val: psnr=40.7886, 4.3m 10.5h/71.0h
epoch 149/1000, train: loss=0.0039, val: psnr=40.4803, 4.3m 10.6h/71.0h
epoch 150/1000, train: loss=0.0039, val: psnr=40.0773, 4.3m 10.7h/71.0h
epoch 151/1000, train: loss=0.0039, val: psnr=40.7476, 4.3m 10.7h/71.0h
epoch 152/1000, train: loss=0.0039, val: psnr=40.6220, 4.3m 10.8h/71.0h
epoch 153/1000, train: loss=0.0039, val: psnr=40.5775, 4.3m 10.9h/71.0h
epoch 154/1000, train: loss=0.0039, val: psnr=40.4950, 4.3m 10.9h/71.0h
epoch 155/1000, train: loss=0.0039, val: psnr=40.6441, 4.3m 11.0h/71.0h
epoch 156/1000, train: loss=0.0039, val: psnr=40.3325, 4.3m 11.1h/71.0h
epoch 157/1000, train: loss=0.0039, val: psnr=40.7877, 4.3m 11.1h/71.0h
epoch 158/1000, train: loss=0.0039, val: psnr=40.6572, 4.3m 11.2h/71.0h
epoch 159/1000, train: loss=0.0039, val: psnr=40.5573, 4.3m 11.3h/71.0h
epoch 160/1000, train: loss=0.0039, val: psnr=40.6649, 4.3m 11.4h/71.0h
